Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
25,100,451,121,358,105.01,22.2,101.7
7,22,440,50,443,29.24,11.8,29.24
127,160,463,399,208,514.84,160.0,511.09
106,475,331,103,437,428.78,94.4,424.78
116,465,257,141,398,475.66,240.2,466.59
9,149,380,136,413,44.38,13.8,39.21
110,494,347,131,389,446.87,130.8,441.7
20,164,477,237,467,82.46,14.8,83.28
41,370,414,223,428,171.12,23.0,166.88
58,270,79,427,227,235.29,71.0,234.71
87,359,181,384,360,357.1,165.0,351.83
52,389,158,360,144,212.76,59.8,209.74
65,88,389,322,450,260.1,58.4,260.1
124,77,410,435,306,502.66,202.2,497.0
9,30,415,58,392,37.53,12.4,37.53
30,112,384,160,486,121.88,10.6,121.88
55,467,302,318,437,223.91,71.6,220.15
48,360,392,194,437,194.92,22.2,192.44
38,104,360,202,461,153.89,26.8,152.72
20,456,275,450,342,81.77,21.6,80.36
37,296,444,154,468,151.94,19.0,151.94
123,228,206,345,419,505.87,153.2,495.33
93,131,461,456,340,375.71,76.0,375.12
15,325,119,276,84,63.5,7.2,63.5
76,487,375,404,118,319.56,91.6,307.81
48,311,463,123,453,197.11,21.0,192.14
119,438,240,160,395,483.01,239.8,476.19
53,488,351,332,435,224.39,77.0,214.88
32,67,389,185,420,135.67,51.2,130.84
104,377,393,308,102,423.67,133.8,418.74
36,126,371,222,471,145.04,12.4,144.45
17,120,471,69,429,73.08,13.8,71.91
127,453,292,51,432,518.48,152.2,511.65
36,311,415,428,343,148.82,17.6,146.82
102,403,423,303,189,416.9,159.8,408.11
121,483,371,87,459,489.5,104.4,486.58
115,47,449,458,328,467.85,162.8,463.61
86,422,222,302,461,357.27,124.8,344.73
37,443,341,328,423,151.31,25.6,148.97
19,118,479,109,405,84.66,18.4,78.9
21,342,418,269,454,87.91,17.6,87.91
57,426,371,237,469,233.69,35.4,229.59
86,421,359,113,446,346.28,37.8,344.04
17,73,423,120,466,75.36,23.6,69.5
103,360,381,284,217,419.35,176.6,412.07
51,56,477,253,468,208.18,27.2,206.53
47,371,415,486,369,195.65,72.2,190.62
58,333,411,463,266,235.21,63.0,232.04
90,196,440,434,314,367.85,122.4,363.26
81,364,373,369,221,329.13,102.2,325.03
54,293,203,458,254,220.51,46.0,218.41
83,420,398,140,365,336.26,60.8,333.19
7,305,141,282,156,29.21,12.4,29.21
15,384,384,410,435,63.43,9.2,63.43
7,115,493,133,472,28.46,10.8,28.46
91,96,423,417,354,372.05,104.6,367.81
111,16,434,415,349,455.22,138.8,447.66
69,464,304,251,224,282.04,64.6,279.11
29,324,196,421,226,115.81,24.4,116.05
98,423,442,53,431,397.27,77.2,394.44
35,211,418,95,484,143.34,10.4,143.34
35,180,415,304,435,143.64,22.6,140.57
23,352,134,339,162,90.98,20.6,92.64
37,224,122,338,212,152.45,24.4,151.28
88,424,376,101,447,353.82,31.4,352.41
20,90,402,21,435,82.67,11.6,82.67
42,218,112,356,182,178.11,35.6,169.48
83,404,186,381,357,339.65,151.2,335.55
43,268,466,102,447,173.87,18.2,173.87
113,453,345,60,398,458.72,102.8,453.89
82,149,403,429,374,336.85,62.2,331.53
119,377,423,242,139,492.57,214.4,479.06
22,185,393,122,435,90.36,15.6,89.18
112,435,312,128,498,455.32,109.8,450.97
62,439,402,214,458,248.2,43.0,248.2
17,234,433,172,413,70.28,14.2,70.28
61,282,449,46,470,251.28,33.2,244.7
21,244,457,162,449,85.31,14.0,85.31
27,103,490,16,433,112.37,20.4,110.61
8,128,464,139,492,32.56,11.4,32.56
10,115,420,95,385,44.46,13.2,43.28
