Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
25,100,451,121,358,105.6,27.6,101.7
7,22,440,50,443,29.24,12.4,29.24
127,160,463,399,208,516.01,413.2,511.09
106,475,331,103,437,429.95,141.8,424.78
116,465,257,141,398,477.52,392.2,466.59
9,149,380,136,413,44.38,16.4,39.21
110,494,347,131,389,449.9,243.4,441.7
20,164,477,237,467,82.46,19.2,83.28
41,370,414,223,428,171.23,50.6,166.88
58,270,79,427,227,237.63,126.0,234.71
87,359,181,384,360,355.93,316.4,351.83
52,389,158,360,144,214.52,128.2,209.74
65,88,389,322,450,260.44,84.6,260.1
124,77,410,435,306,503.83,457.0,497.0
9,30,415,58,392,37.53,16.0,37.53
30,112,384,160,486,121.88,13.2,121.88
55,467,302,318,437,226.25,90.2,220.15
48,360,392,194,437,196.1,50.8,192.44
38,104,360,202,461,153.89,34.4,152.72
20,456,275,450,342,81.77,37.2,80.36
37,296,444,154,468,153.11,39.6,151.94
123,228,206,345,419,503.53,286.8,495.33
93,131,461,456,340,378.05,158.8,375.12
15,325,119,276,84,63.5,11.0,63.5
76,487,375,404,118,308.74,188.4,307.81
48,311,463,123,453,192.14,41.8,192.14
119,438,240,160,395,487.11,445.0,476.19
53,488,351,332,435,221.08,137.8,214.88
32,67,389,185,420,133.77,66.6,130.84
104,377,393,308,102,426.6,271.2,418.74
36,126,371,222,471,145.04,22.8,144.45
17,120,471,69,429,73.08,16.2,71.91
127,453,292,51,432,519.4,253.4,511.65
36,311,415,428,343,148.82,24.4,146.82
102,403,423,303,189,421.0,315.0,408.11
121,483,371,87,459,491.85,180.4,486.58
115,47,449,458,328,466.19,258.0,463.61
86,422,222,302,461,353.76,169.8,344.73
37,443,341,328,423,150.14,41.8,148.97
19,118,479,109,405,84.66,28.4,78.9
21,342,418,269,454,88.5,25.8,87.91
57,426,371,237,469,231.35,41.0,229.59
86,421,359,113,446,348.04,73.2,344.04
17,73,423,120,466,75.36,36.0,69.5
103,360,381,284,217,421.1,369.2,412.07
51,56,477,253,468,205.7,42.4,206.53
47,371,415,486,369,197.99,165.6,190.62
58,333,411,463,266,235.79,110.8,232.04
90,196,440,434,314,368.43,264.8,363.26
81,364,373,369,221,330.3,213.8,325.03
54,293,203,458,254,218.79,81.4,218.41
83,420,398,140,365,343.29,129.4,333.19
7,305,141,282,156,29.21,14.2,29.21
15,384,384,410,435,64.6,11.2,63.43
7,115,493,133,472,28.46,11.2,28.46
91,96,423,417,354,371.56,173.6,367.81
111,16,434,415,349,453.91,293.0,447.66
69,464,304,251,224,281.79,106.2,279.11
29,324,196,421,226,116.4,37.2,116.05
98,423,442,53,431,397.27,154.8,394.44
35,211,418,95,484,143.34,13.6,143.34
35,180,415,304,435,141.98,37.6,140.57
23,352,134,339,162,90.98,33.2,92.64
37,224,122,338,212,152.45,20.6,151.28
88,424,376,101,447,359.68,60.6,352.41
20,90,402,21,435,82.67,14.2,82.67
42,218,112,356,182,174.89,55.8,169.48
83,404,186,381,357,339.65,301.8,335.55
43,268,466,102,447,173.87,33.2,173.87
113,453,345,60,398,459.3,143.6,453.89
82,149,403,429,374,339.29,136.4,331.53
119,377,423,242,139,500.77,385.4,479.06
22,185,393,122,435,92.7,22.4,89.18
112,435,312,128,498,457.07,159.2,450.97
62,439,402,214,458,249.37,98.8,248.2
17,234,433,172,413,70.28,18.0,70.28
61,282,449,46,470,246.36,68.0,244.7
21,244,457,162,449,85.31,20.2,85.31
27,103,490,16,433,112.95,25.4,110.61
8,128,464,139,492,32.56,12.4,32.56
10,115,420,95,385,43.87,16.0,43.28
111,203,413,431,222,454.04,275.4,447.22
44,423,425,466,319,186.38,87.6,179.11
37,446,327,417,223,152.54,38.0,148.78
90,369,220,323,417,372.45,241.0,363.66
38,194,388,88,486,155.38,19.4,153.04
49,460,263,393,396,209.68,127.8,197.24
116,426,428,283,147,484.44,376.0,465.75
6,57,379,59,406,27.83,11.4,27.83
36,62,475,150,374,146.82,53.2,144.48
67,446,332,225,452,273.05,87.8,270.71
127,374,370,256,58,515.9,350.4,508.04
92,423,338,122,407,374.78,147.8,368.09
90,283,449,410,224,369.59,209.2,362.9
11,371,421,390,381,49.04,19.0,47.87
97,169,381,471,312,394.97,155.8,390.63
113,336,427,294,200,464.19,457.2,455.4
125,455,411,324,103,513.74,332.0,500.85
