Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
4,435,402,449,409,16.9,127.0,16.9
112,55,459,334,148,455.85,290.0,450.58
67,306,214,145,396,272.71,208.0,269.78
111,105,187,476,311,458.83,464.0,445.52
34,320,278,423,340,139.23,139.0,137.47
110,138,228,499,294,453.88,788.0,442.71
92,4,488,353,461,377.44,150.0,370.95
59,353,343,144,375,238.58,169.0,238.82
69,390,117,503,331,286.08,158.0,277.53
127,87,126,339,412,528.04,346.0,511.6
71,329,110,491,97,304.32,236.0,287.98
124,212,508,264,158,511.99,208.0,499.75
43,419,294,357,427,176.87,163.0,173.35
49,81,334,33,196,200.74,207.0,197.81
17,213,344,257,299,76.11,71.0,71.67
109,92,286,286,497,442.22,707.0,438.46
69,179,194,329,397,283.88,338.0,279.19
55,277,300,456,396,223.94,42.0,222.42
58,297,245,315,449,237.97,180.0,232.99
85,14,190,277,222,351.33,258.0,340.02
90,169,414,331,463,377.01,236.0,363.94
123,95,300,487,81,494.9,577.0,494.31
118,32,449,389,220,475.87,442.0,473.53
75,300,70,416,24,322.23,118.0,300.82
57,473,269,457,69,236.61,150.0,230.75
89,385,167,346,496,362.31,304.0,358.41
100,187,454,297,432,411.76,265.0,400.21
41,334,181,435,305,168.76,97.0,165.84
59,209,233,362,392,243.46,169.0,239.36
37,342,294,252,355,160.15,107.0,150.54
87,277,302,467,47,356.59,323.0,351.66
81,366,261,266,474,333.25,357.0,326.66
31,328,473,322,376,129.71,154.0,127.37
70,176,190,346,383,290.95,258.0,282.75
50,197,345,150,223,203.17,200.0,200.58
78,158,363,155,132,316.35,509.0,312.25
53,369,262,298,444,219.69,174.0,214.72
68,259,423,200,212,282.27,232.0,273.54
103,251,163,200,450,415.91,852.0,412.15
46,292,221,393,362,192.21,195.0,185.18
54,98,490,173,325,220.88,100.0,216.78
25,397,351,377,435,103.15,137.0,100.57
76,281,262,85,467,316.89,124.0,307.76
80,383,244,191,417,331.41,381.0,322.28
29,399,361,369,458,118.64,134.0,116.05
100,502,280,210,157,409.9,285.0,403.7
74,356,486,78,464,301.74,193.0,298.57
112,271,121,35,445,453.19,596.0,449.29
55,394,345,223,259,229.98,219.0,220.1
47,463,336,392,188,189.69,90.0,188.76
80,146,404,352,201,327.58,298.0,321.13
91,273,265,79,162,377.94,500.0,364.67
42,357,143,214,186,170.27,107.0,168.27
24,474,312,400,252,98.85,73.0,98.85
112,145,134,321,456,462.52,567.0,449.24
71,486,93,333,108,296.63,188.0,286.15
50,242,502,51,477,204.18,160.0,202.18
68,445,361,225,237,275.46,185.0,274.29
52,172,388,72,230,212.88,194.0,210.53
75,90,195,38,165,309.75,227.0,302.33
42,371,323,357,170,181.71,156.0,169.77
82,274,124,127,381,329.61,246.0,329.02
90,198,108,347,407,367.75,189.0,361.89
78,147,131,204,386,317.2,319.0,314.17
102,120,62,208,298,408.8,84.0,408.11
12,372,137,337,168,49.6,128.0,49.01
60,351,409,193,381,243.18,199.0,242.25
54,300,351,260,495,231.64,169.0,218.23
83,91,345,265,392,337.53,528.0,333.09
24,372,86,295,113,101.36,75.0,98.08
75,424,297,471,77,302.12,187.0,300.61
72,348,73,171,152,298.39,245.0,288.43
50,269,271,230,419,201.51,158.0,201.17
28,280,319,364,390,114.58,132.0,113.41
33,433,61,335,127,137.48,17.0,134.55
107,408,448,197,108,433.84,296.0,428.57
104,399,440,474,74,418.61,349.0,418.61
88,176,327,109,140,367.39,707.0,355.77
34,325,130,276,241,160.17,158.0,136.95
90,390,459,232,419,365.06,344.0,361.3
40,291,225,185,311,171.54,155.0,162.27
17,407,321,370,267,69.33,132.0,69.33
48,95,302,243,391,193.94,159.0,192.18
106,162,200,298,505,441.62,959.0,424.2
62,464,320,297,443,259.95,179.0,249.16
66,247,387,429,340,269.37,195.0,264.3
117,477,43,246,387,479.88,443.0,470.85
106,134,425,340,468,441.92,245.0,425.09
100,420,441,162,424,401.37,346.0,400.1
75,166,500,406,385,309.01,176.0,301.01
19,8,455,68,502,82.4,134.0,79.47
87,117,355,437,287,352.27,236.0,348.17
64,74,349,247,172,280.88,190.0,257.45
73,75,341,288,163,314.85,279.0,293.76
46,229,368,195,206,189.88,178.0,187.98
14,311,211,314,164,68.91,145.0,59.01
79,447,75,329,342,325.84,211.0,317.88
98,44,161,317,349,403.56,265.0,395.01
116,428,293,97,497,471.96,553.0,464.59
65,140,188,326,308,263.91,147.0,261.46
41,485,275,397,326,175.41,153.0,167.07
116,250,483,45,267,471.72,198.0,466.2
92,54,215,135,431,381.9,420.0,368.19
93,250,260,311,7,394.15,262.0,375.56
123,48,219,469,328,506.32,471.0,495.83
109,134,425,367,165,467.58,403.0,439.03
34,172,358,113,281,146.61,183.0,138.37
42,406,280,270,200,174.31,79.0,171.48
112,13,373,183,141,458.23,345.0,449.79
84,412,337,456,49,342.88,216.0,336.05
35,359,251,297,366,148.14,137.0,143.17
53,383,357,238,344,224.85,165.0,213.68
66,51,220,223,142,275.5,210.0,267.89
90,396,332,80,340,379.71,308.0,363.52
54,302,380,250,211,219.07,203.0,217.55
97,247,384,84,151,397.29,857.0,390.84
62,165,350,53,177,256.32,173.0,250.12
79,426,302,481,82,320.02,142.0,318.5
94,325,178,236,443,401.46,862.0,379.22
96,302,362,475,86,392.24,363.0,386.59
43,333,99,333,226,187.85,179.0,173.12
66,70,355,254,192,294.32,239.0,264.99
70,331,399,185,192,286.46,219.0,282.61
105,29,212,378,144,427.07,376.0,423.56
56,383,422,387,212,232.12,171.0,225.74
54,93,144,153,261,218.71,166.0,216.12
31,228,491,318,463,134.53,147.0,127.46
16,366,394,397,367,68.14,133.0,67.56
118,489,105,218,362,491.57,429.0,472.24
56,315,237,451,398,226.12,179.0,224.36
11,327,482,363,461,44.7,128.0,44.7
107,75,437,351,151,445.57,486.0,430.2
55,387,407,212,309,226.95,178.0,223.01
72,329,196,337,455,302.14,335.0,291.31
15,41,458,96,442,61.63,73.0,61.63
46,176,288,339,320,191.85,115.0,187.85
53,260,130,141,185,222.65,215.0,215.72
69,154,438,321,285,290.79,258.0,279.87
57,237,272,368,431,232.63,162.0,228.19
46,172,287,275,193,192.68,170.0,185.07
91,180,379,120,116,376.77,928.0,367.06
11,323,330,324,285,45.41,67.0,45.41
100,163,427,449,377,412.49,293.0,400.35
86,229,288,66,106,354.89,573.0,345.86
72,342,115,137,226,295.42,270.0,289.46
77,381,209,317,474,318.02,222.0,310.56
117,207,457,471,337,487.02,326.0,470.74
8,362,426,387,418,39.73,130.0,35.63
41,185,287,273,214,174.54,118.0,167.75
66,400,242,182,352,274.11,201.0,266.49
73,367,332,502,177,299.34,241.0,292.99
81,126,97,100,348,330.79,137.0,324.83
38,309,227,170,192,159.64,154.0,155.98
68,273,257,343,476,283.15,231.0,274.91
71,206,323,42,181,292.39,311.0,285.95
13,170,352,200,393,53.43,130.0,53.43
49,198,283,245,127,197.84,219.0,197.01
62,397,445,217,339,255.91,202.0,249.46
40,396,296,355,153,171.3,92.0,163.64
78,202,313,8,257,325.81,441.0,313.85
56,400,423,482,242,226.56,104.0,224.08
32,346,170,236,210,139.05,77.0,129.15
14,467,379,425,344,56.5,133.0,56.5
119,254,502,16,216,486.59,130.0,478.98
99,193,250,391,9,413.58,748.0,397.34
