Bucket,start-x,start-y,goal-x,goal-y,dist,time(ms),optimal
4,435,402,449,409,16.9,134.0,16.9
112,55,459,334,148,462.24,293.0,450.58
67,306,214,145,396,286.81,210.0,269.78
111,105,187,476,311,472.69,467.0,445.52
34,320,278,423,340,148.15,138.0,137.47
110,138,228,499,294,459.05,801.0,442.71
92,4,488,353,461,380.95,149.0,370.95
59,353,343,144,375,249.37,175.0,238.82
69,390,117,503,331,294.66,166.0,277.53
127,87,126,339,412,532.14,358.0,511.6
71,329,110,491,97,303.15,238.0,287.98
124,212,508,264,158,511.4,209.0,499.75
43,419,294,357,427,186.38,169.0,173.35
49,81,334,33,196,205.56,204.0,197.81
17,213,344,257,299,76.11,73.0,71.67
109,92,286,286,497,452.66,718.0,438.46
69,179,194,329,397,304.08,341.0,279.19
55,277,300,456,396,227.69,48.0,222.42
58,297,245,315,449,243.48,184.0,232.99
85,14,190,277,222,350.99,257.0,340.02
90,169,414,331,463,381.11,238.0,363.94
123,95,300,487,81,497.97,579.0,494.31
118,32,449,389,220,479.39,450.0,473.53
75,300,70,416,24,322.23,118.0,300.82
57,473,269,457,69,243.2,150.0,230.75
89,385,167,346,496,378.85,307.0,358.41
100,187,454,297,432,422.89,273.0,400.21
41,334,181,435,305,179.55,92.0,165.84
59,209,233,362,392,244.05,167.0,239.36
37,342,294,252,355,163.08,105.0,150.54
87,277,302,467,47,388.45,320.0,351.66
81,366,261,266,474,345.69,365.0,326.66
31,328,473,322,376,132.05,152.0,127.37
70,176,190,346,383,298.12,257.0,282.75
50,197,345,150,223,207.27,196.0,200.58
78,158,363,155,132,317.76,510.0,312.25
53,369,262,298,444,219.69,173.0,214.72
68,259,423,200,212,297.2,226.0,273.54
103,251,163,200,450,426.25,826.0,412.15
46,292,221,393,362,236.45,193.0,185.18
54,98,490,173,325,226.05,103.0,216.78
25,397,351,377,435,104.57,140.0,100.57
76,281,262,85,467,322.4,130.0,307.76
80,383,244,191,417,343.07,379.0,322.28
29,399,361,369,458,118.88,136.0,116.05
100,502,280,210,157,416.35,289.0,403.7
74,356,486,78,464,310.12,200.0,298.57
112,271,121,35,445,460.36,602.0,449.29
55,394,345,223,259,236.02,230.0,220.1
47,463,336,392,188,196.97,101.0,188.76
80,146,404,352,201,336.02,310.0,321.13
91,273,265,79,162,383.84,503.0,364.67
42,357,143,214,186,177.44,109.0,168.27
24,474,312,400,252,98.85,76.0,98.85
112,145,134,321,456,467.59,573.0,449.24
71,486,93,333,108,304.39,189.0,286.15
50,242,502,51,477,209.6,160.0,202.18
68,445,361,225,237,289.32,187.0,274.29
52,172,388,72,230,227.32,197.0,210.53
75,90,195,38,165,328.09,230.0,302.33
42,371,323,357,170,184.88,160.0,169.77
82,274,124,127,381,333.95,253.0,329.02
90,198,108,347,407,368.58,194.0,361.89
78,147,131,204,386,334.02,320.0,314.17
102,120,62,208,298,411.14,85.0,408.11
12,372,137,337,168,53.36,129.0,49.01
60,351,409,193,381,257.28,201.0,242.25
54,300,351,260,495,240.47,169.0,218.23
83,91,345,265,392,351.63,534.0,333.09
24,372,86,295,113,103.11,72.0,98.08
75,424,297,471,77,310.46,190.0,300.61
72,348,73,171,152,303.91,250.0,288.43
50,269,271,230,419,221.02,170.0,201.17
28,280,319,364,390,115.65,137.0,113.41
33,433,61,335,127,135.14,17.0,134.55
107,408,448,197,108,433.84,305.0,428.57
104,399,440,474,74,426.61,364.0,418.61
88,176,327,109,140,376.42,709.0,355.77
34,325,130,276,241,166.51,161.0,136.95
90,390,459,232,419,389.02,352.0,361.3
40,291,225,185,311,177.88,159.0,162.27
17,407,321,370,267,77.81,133.0,69.33
48,95,302,243,391,206.72,165.0,192.18
106,162,200,298,505,443.37,976.0,424.2
62,464,320,297,443,268.39,181.0,249.16
66,247,387,429,340,290.24,198.0,264.3
117,477,43,246,387,487.98,447.0,470.85
106,134,425,340,468,444.85,247.0,425.09
100,420,441,162,424,422.1,348.0,400.1
75,166,500,406,385,321.45,178.0,301.01
19,8,455,68,502,95.77,136.0,79.47
87,117,355,437,287,364.99,237.0,348.17
64,74,349,247,172,285.95,191.0,257.45
73,75,341,288,163,320.85,277.0,293.76
46,229,368,195,206,192.47,174.0,187.98
14,311,211,314,164,109.3,152.0,59.01
79,447,75,329,342,330.56,213.0,317.88
98,44,161,317,349,412.14,270.0,395.01
116,428,293,97,497,478.4,556.0,464.59
65,140,188,326,308,266.63,148.0,261.46
41,485,275,397,326,177.99,154.0,167.07
116,250,483,45,267,475.48,198.0,466.2
92,54,215,135,431,380.39,432.0,368.19
93,250,260,311,7,401.08,264.0,375.56
123,48,219,469,328,506.9,477.0,495.83
109,134,425,367,165,476.36,408.0,439.03
34,172,358,113,281,160.47,185.0,138.37
42,406,280,270,200,177.14,80.0,171.48
112,13,373,183,141,469.3,356.0,449.79
84,412,337,456,49,354.49,218.0,336.05
35,359,251,297,366,148.14,141.0,143.17
53,383,357,238,344,228.02,167.0,213.68
66,51,220,223,142,281.89,213.0,267.89
90,396,332,80,340,389.91,317.0,363.52
54,302,380,250,211,219.55,209.0,217.55
97,247,384,84,151,419.14,874.0,390.84
62,165,350,53,177,270.08,173.0,250.12
79,426,302,481,82,326.12,142.0,318.5
